 , ,S1,S2,S3,S4,V,L,PRAC DRILL,PLAY #,QB,HASH,FPOS,DN,DIST,PERSON,OFF FORM,MOTION,OFF PLAY,OVO CONCEPT,JERSEY #,OVO RESULT,PLAY CALL,R/P,GAIN,REC#,PLAY RESULT,FORM FAM,FIB,BLITZ,FRONT,RUSHERS,STUNT,COVERAGE,DFE TEAM,OFF TEAM,TAPE LABELS
35, , , , , , , , ,65,16,R,-28,2,5,11,LATE OFF, ,13 BG,12/13/BG,8,R+, ,R,10, , ,ERLY OFF, , , , , ,DBL CUT,CHARLESTON SOUTHERN,RICHMOND,24 0310 09-14-2024 VARI D vs SCCH.065
36, , , , , , , , ,37,16,L,-36,1,10,12,DOOR OFF FLO, ,13 BG,12/13/BG,1,R, ,R,8, , ,UNB, , ,HEADS 9,4,NAT,2,DELAWARE ST,RICHMOND,23 0322 09-16-2023 VARI D vs DEST.037
37, , , , , , , , ,20,14,R,38,1,10,11,ERLY OFF, ,12 BG,12/13/BG,9,R, ,R,8, , ,ERLY OFF,Y, ,OVER, , ,3 WK,NC A&T,RICHMOND,24 0660 10-05-2024 NCAT O @ VARI.020
38, , , , , , , , ,59,12,R,31,2,9,12,DBL OFF FL, ,12 BG,12/13/BG,8,R, ,R,7, , ,UNB, , ,OVR,4, ,3 BUZZ,DELAWARE ST,RICHMOND,23 0322 09-16-2023 VARI D vs DEST.059
39, , , , , , , , ,47,14, ,36,1,10,11,ERLY OFF, ,12 BG,12/13/BG,7,R, ,R,6, , ,ERLY OFF,N,FS@D,UW, , ,1B,BRYANT,RICHMOND,24 0993 10-26-2024 RIBT O vs VARI.047
40, , , , , , , , ,35,14,L,-31,2,4,11,ERLY OFF, ,12 BG,12/13/BG,9,R, ,R,6, , ,ERLY OFF, , ,UND G, , ,4 POACH,DELAWARE ST,RICHMOND,24 0454 09-21-2024 VARI D @ DEST.035
41, , , , , , , , ,71,18, ,46,3,15,11,ERLY OFF, ,12 BG,12/13/BG,80,CGRT, ,P,6, ,C,ERLY OFF,N,BC SAW,UGW, , ,0B,BRYANT,RICHMOND,24 0993 10-26-2024 RIBT O vs VARI.071
42, , , , , , , , ,54,12,R,-39,2,1,12,DOOR OFF FLO, ,13 BG,12/13/BG,8,R, ,R,5, , ,UNB, , ,UND G S,4, ,3 WK,DELAWARE ST,RICHMOND,23 0322 09-16-2023 VARI D vs DEST.054
43, , , , , , , , ,64,16,R,-23,0,10,11,LATE OFF, ,13 BG,12/13/BG,8,R, ,R,5, , ,ERLY OFF, , , , , ,DBL CUT,CHARLESTON SOUTHERN,RICHMOND,24 0310 09-14-2024 VARI D vs SCCH.064
44, , , , , , , , ,39,14,R,10,2,3,11,LATE OFF, ,13 BG,12/13/BG,9,R, ,R,5, , ,ERLY OFF, , ,HEADS, , ,MATCH,DELAWARE ST,RICHMOND,24 0454 09-21-2024 VARI D @ DEST.039
45, , , , , , , , ,18,14,R,36,1,10,11,LATE OFF, ,13 BG,12/13/BG,9,R, ,R,5, , ,ERLY OFF, , ,OVR G S, , ,11,DELAWARE ST,RICHMOND,24 0454 09-21-2024 VARI D @ DEST.018
46, , , , , , , , ,49,14,R,38,2,1,11,ERLY OFF, ,12 BG,12/13/BG,9,R, ,R,5, , ,ERLY OFF,X, ,OVR G, , ,3 WK,DELAWARE ST,RICHMOND,24 0454 09-21-2024 VARI D @ DEST.049
47, , , , , , , , ,60,16,R,-35,2,8,11,LATE OFF, ,13 BG,12/13/BG,38,R, ,R,5, , ,ERLY OFF, , ,SPLIT, , ,3 WK,VIRGINIA,RICHMOND,24 0058 08-31-2024 VARI D @ VAUN.060
